Trial,Bandit,Reward,Cumulative_Reward,Cumulative_Regret,Algorithm
708,3,3.8910,2728.7450,103.2550,EpsilonGreedy
709,3,5.2976,2734.0426,101.9574,EpsilonGreedy
710,3,5.2089,2739.2515,100.7485,EpsilonGreedy
711,3,3.6631,2742.9146,101.0854,EpsilonGreedy
712,3,2.7583,2745.6729,102.3271,EpsilonGreedy
713,3,2.6792,2748.3521,103.6479,EpsilonGreedy
714,3,5.6325,2753.9846,102.0154,EpsilonGreedy
715,3,4.2259,2758.2105,101.7895,EpsilonGreedy
716,3,2.8505,2761.0609,102.9391,EpsilonGreedy
717,3,5.4548,2766.5157,101.4843,EpsilonGreedy
718,3,4.4830,2770.9987,101.0013,EpsilonGreedy
719,3,4.7049,2775.7036,100.2964,EpsilonGreedy
720,3,4.8014,2780.5050,99.4950,EpsilonGreedy
721,3,4.2797,2784.7847,99.2153,EpsilonGreedy
722,3,3.4205,2788.2052,99.7948,EpsilonGreedy
723,3,2.2788,2790.4840,101.5160,EpsilonGreedy
724,3,2.5777,2793.0616,102.9384,EpsilonGreedy
725,3,3.0424,2796.1040,103.8960,EpsilonGreedy
726,3,4.4532,2800.5573,103.4427,EpsilonGreedy
727,3,3.1867,2803.7440,104.2560,EpsilonGreedy
728,3,4.7465,2808.4905,103.5095,EpsilonGreedy
729,3,4.8515,2813.3420,102.6580,EpsilonGreedy
730,3,5.4650,2818.8070,101.1930,EpsilonGreedy
731,3,5.4994,2824.3064,99.6936,EpsilonGreedy
732,3,1.2197,2825.5261,102.4739,EpsilonGreedy
733,3,5.5780,2831.1041,100.8959,EpsilonGreedy
734,3,4.1690,2835.2731,100.7269,EpsilonGreedy
735,3,4.1022,2839.3753,100.6247,EpsilonGreedy
736,3,3.3185,2842.6938,101.3062,EpsilonGreedy
737,3,4.2227,2846.9165,101.0835,EpsilonGreedy
738,3,4.0798,2850.9963,101.0037,EpsilonGreedy
739,3,3.2843,2854.2805,101.7195,EpsilonGreedy
740,3,2.0837,2856.3642,103.6358,EpsilonGreedy
741,3,5.3285,2861.6928,102.3072,EpsilonGreedy
742,3,4.5307,2866.2234,101.7766,EpsilonGreedy
743,3,2.9555,2869.1789,102.8211,EpsilonGreedy
744,3,3.4858,2872.6646,103.3354,EpsilonGreedy
745,3,4.7536,2877.4183,102.5817,EpsilonGreedy
746,3,3.4226,2880.8408,103.1592,EpsilonGreedy
747,3,4.2823,2885.1232,102.8768,EpsilonGreedy
748,3,5.0283,2890.1515,101.8485,EpsilonGreedy
749,3,4.8429,2894.9944,101.0056,EpsilonGreedy
750,3,3.8280,2898.8223,101.1777,EpsilonGreedy
751,3,3.0933,2901.9157,102.0843,EpsilonGreedy
752,3,3.6047,2905.5203,102.4797,EpsilonGreedy
753,3,4.7437,2910.2641,101.7359,EpsilonGreedy
754,3,3.8026,2914.0666,101.9334,EpsilonGreedy
755,3,5.6446,2919.7112,100.2888,EpsilonGreedy
756,3,5.7889,2925.5001,98.4999,EpsilonGreedy
757,3,5.4896,2930.9897,97.0103,EpsilonGreedy
758,3,4.7172,2935.7069,96.2931,EpsilonGreedy
759,3,2.7765,2938.4833,97.5167,EpsilonGreedy
760,3,5.6979,2944.1813,95.8187,EpsilonGreedy
761,3,4.7652,2948.9465,95.0535,EpsilonGreedy
762,3,3.3297,2952.2762,95.7238,EpsilonGreedy
763,3,3.1120,2955.3882,96.6118,EpsilonGreedy
764,3,3.3684,2958.7566,97.2434,EpsilonGreedy
765,3,4.1498,2962.9064,97.0936,EpsilonGreedy
766,3,2.5491,2965.4555,98.5445,EpsilonGreedy
767,3,5.1835,2970.6390,97.3610,EpsilonGreedy
768,3,3.6335,2974.2725,97.7275,EpsilonGreedy
769,3,4.5612,2978.8336,97.1664,EpsilonGreedy
770,3,2.2789,2981.1126,98.8874,EpsilonGreedy
771,3,6.9882,2988.1008,95.8992,EpsilonGreedy
772,3,5.0197,2993.1205,94.8795,EpsilonGreedy
773,3,3.8856,2997.0061,94.9939,EpsilonGreedy
774,3,2.7864,2999.7925,96.2075,EpsilonGreedy
775,3,5.5020,3005.2944,94.7056,EpsilonGreedy
776,3,3.5707,3008.8652,95.1348,EpsilonGreedy
777,3,3.5432,3012.4084,95.5916,EpsilonGreedy
778,3,3.0682,3015.4766,96.5234,EpsilonGreedy
779,3,2.7133,3018.1899,97.8101,EpsilonGreedy
780,3,3.8922,3022.0821,97.9179,EpsilonGreedy
781,3,3.9939,3026.0760,97.9240,EpsilonGreedy
782,3,3.5432,3029.6192,98.3808,EpsilonGreedy
783,3,2.8514,3032.4706,99.5294,EpsilonGreedy
784,3,5.4809,3037.9515,98.0485,EpsilonGreedy
785,3,5.5847,3043.5362,96.4638,EpsilonGreedy
786,3,3.0929,3046.6291,97.3709,EpsilonGreedy
