Trial,Bandit,Reward,Cumulative_Reward,Cumulative_Regret,Algorithm
18872,3,3.5701,75355.2533,132.7467,ThompsonSampling
18873,3,3.0221,75358.2754,133.7246,ThompsonSampling
18874,3,3.6817,75361.9571,134.0429,ThompsonSampling
18875,3,1.7509,75363.7080,136.2920,ThompsonSampling
18876,3,4.0248,75367.7328,136.2672,ThompsonSampling
18877,3,4.9534,75372.6862,135.3138,ThompsonSampling
18878,3,3.7544,75376.4406,135.5594,ThompsonSampling
18879,3,5.0610,75381.5016,134.4984,ThompsonSampling
18880,3,3.6933,75385.1949,134.8051,ThompsonSampling
18881,3,3.6397,75388.8346,135.1654,ThompsonSampling
18882,3,3.6915,75392.5261,135.4739,ThompsonSampling
18883,3,5.0574,75397.5834,134.4166,ThompsonSampling
18884,3,4.1147,75401.6982,134.3018,ThompsonSampling
18885,3,4.1529,75405.8511,134.1489,ThompsonSampling
18886,3,3.7699,75409.6210,134.3790,ThompsonSampling
18887,3,4.0087,75413.6297,134.3703,ThompsonSampling
18888,3,4.5030,75418.1327,133.8673,ThompsonSampling
18889,3,3.2678,75421.4005,134.5995,ThompsonSampling
18890,3,3.8929,75425.2934,134.7066,ThompsonSampling
18891,3,3.7591,75429.0525,134.9475,ThompsonSampling
18892,3,5.8058,75434.8583,133.1417,ThompsonSampling
18893,3,3.1618,75438.0201,133.9799,ThompsonSampling
18894,3,3.1264,75441.1465,134.8535,ThompsonSampling
18895,3,3.0938,75444.2403,135.7597,ThompsonSampling
18896,3,2.2375,75446.4778,137.5222,ThompsonSampling
18897,3,5.5598,75452.0376,135.9624,ThompsonSampling
18898,3,3.3012,75455.3388,136.6612,ThompsonSampling
18899,3,5.1452,75460.4840,135.5160,ThompsonSampling
18900,3,2.9290,75463.4130,136.5870,ThompsonSampling
18901,3,5.1423,75468.5553,135.4447,ThompsonSampling
18902,3,3.4078,75471.9631,136.0369,ThompsonSampling
18903,3,3.8503,75475.8134,136.1866,ThompsonSampling
18904,3,3.3841,75479.1974,136.8026,ThompsonSampling
18905,3,2.5648,75481.7623,138.2377,ThompsonSampling
18906,3,5.2025,75486.9648,137.0352,ThompsonSampling
18907,3,5.3260,75492.2908,135.7092,ThompsonSampling
18908,3,4.4744,75496.7651,135.2349,ThompsonSampling
18909,3,5.0960,75501.8611,134.1389,ThompsonSampling
18910,3,4.1438,75506.0049,133.9951,ThompsonSampling
18911,3,4.6419,75510.6468,133.3532,ThompsonSampling
18912,3,5.7924,75516.4392,131.5608,ThompsonSampling
18913,3,4.3157,75520.7549,131.2451,ThompsonSampling
18914,3,5.7160,75526.4709,129.5291,ThompsonSampling
18915,3,4.4520,75530.9228,129.0772,ThompsonSampling
18916,3,4.6230,75535.5458,128.4542,ThompsonSampling
18917,3,4.1624,75539.7082,128.2918,ThompsonSampling
18918,3,2.8733,75542.5816,129.4184,ThompsonSampling
18919,3,3.9124,75546.4940,129.5060,ThompsonSampling
18920,3,4.5893,75551.0833,128.9167,ThompsonSampling
18921,3,3.5631,75554.6464,129.3536,ThompsonSampling
18922,3,3.9728,75558.6192,129.3808,ThompsonSampling
18923,3,5.6902,75564.3094,127.6906,ThompsonSampling
18924,3,4.5248,75568.8342,127.1658,ThompsonSampling
18925,3,3.7129,75572.5471,127.4529,ThompsonSampling
18926,3,5.3319,75577.8790,126.1210,ThompsonSampling
18927,3,4.1958,75582.0748,125.9252,ThompsonSampling
18928,3,3.5470,75585.6218,126.3782,ThompsonSampling
18929,3,5.8520,75591.4738,124.5262,ThompsonSampling
18930,3,3.5339,75595.0077,124.9923,ThompsonSampling
18931,3,3.5261,75598.5338,125.4662,ThompsonSampling
18932,3,3.0689,75601.6027,126.3973,ThompsonSampling
18933,3,2.0859,75603.6886,128.3114,ThompsonSampling
18934,3,5.2385,75608.9270,127.0730,ThompsonSampling
18935,3,5.3870,75614.3140,125.6860,ThompsonSampling
18936,3,4.4363,75618.7503,125.2497,ThompsonSampling
18937,3,2.9179,75621.6682,126.3318,ThompsonSampling
18938,3,3.0258,75624.6940,127.3060,ThompsonSampling
18939,3,4.5168,75629.2108,126.7892,ThompsonSampling
18940,3,4.0460,75633.2569,126.7431,ThompsonSampling
18941,3,4.0276,75637.2844,126.7156,ThompsonSampling
18942,3,5.3953,75642.6797,125.3203,ThompsonSampling
18943,3,3.2776,75645.9573,126.0427,ThompsonSampling
18944,3,4.7720,75650.7293,125.2707,ThompsonSampling
18945,3,5.1585,75655.8877,124.1123,ThompsonSampling
18946,3,4.2695,75660.1572,123.8428,ThompsonSampling
18947,3,3.2566,75663.4138,124.5862,ThompsonSampling
18948,3,3.0923,75666.5061,125.4939,ThompsonSampling
18949,3,3.8060,75670.3122,125.6878,ThompsonSampling
18950,3,4.4067,75674.7189,125.2811,ThompsonSampling
18951,3,3.4938,75678.2127,125.7873,ThompsonSampling
18952,3,1.7756,75679.9884,128.0116,ThompsonSampling
18953,3,4.0340,75684.0224,127.9776,ThompsonSampling
18954,3,5.4773,75689.4997,126.5003,ThompsonSampling
18955,3,3.3976,75692.8973,127.1027,ThompsonSampling
18956,3,3.4103,75696.3076,127.6924,ThompsonSampling
18957,3,3.2764,75699.5840,128.4160,ThompsonSampling
18958,3,2.8334,75702.4174,129.5826,ThompsonSampling
18959,3,2.5039,75704.9213,131.0787,ThompsonSampling
18960,3,3.7296,75708.6509,131.3491,ThompsonSampling
18961,3,4.2248,75712.8758,131.1242,ThompsonSampling
18962,3,3.4220,75716.2978,131.7022,ThompsonSampling
18963,3,4.8832,75721.1809,130.8191,ThompsonSampling
18964,3,3.5327,75724.7136,131.2864,ThompsonSampling
18965,3,4.5871,75729.3007,130.6993,ThompsonSampling
18966,3,3.8320,75733.1327,130.8673,ThompsonSampling
18967,3,3.3201,75736.4528,131.5472,ThompsonSampling
18968,3,4.6079,75741.0607,130.9393,ThompsonSampling
18969,3,3.0123,75744.0730,131.9270,ThompsonSampling
18970,3,4.1969,75748.2699,131.7301,ThompsonSampling
18971,3,1.7758,75750.0457,133.9543,ThompsonSampling
18972,3,4.6217,75754.6674,133.3326,ThompsonSampling
18973,3,3.4874,75758.1548,133.8452,ThompsonSampling
18974,3,5.2101,75763.3649,132.6351,ThompsonSampling
18975,3,3.0799,75766.4448,133.5552,ThompsonSampling
18976,3,2.5560,75769.0008,134.9992,ThompsonSampling
18977,3,5.7185,75774.7193,133.2807,ThompsonSampling
